テーブルID,テーブル名,カラム名,サイズ
table-1,テーブル-1,field-1,1
table-1,テーブル-1,field-2,1
table-1,テーブル-1,field-3,1
table-1,テーブル-1,field-4,1
table-1,テーブル-1,field-5,1
table-1,テーブル-1,field-6,1
table-1,テーブル-1,field-7,1
table-1,テーブル-1,field-8,1
table-1,テーブル-1,field-9,1
table-1,テーブル-1,field-10,1
table-1,テーブル-1,field-11,1
table-1,テーブル-1,field-12,1
table-1,テーブル-1,field-13,1
table-1,テーブル-1,field-14,1
table-1,テーブル-1,field-15,1
table-1,テーブル-1,field-16,1
table-1,テーブル-1,field-17,1
table-1,テーブル-1,field-18,1
table-1,テーブル-1,field-19,1
table-1,テーブル-1,field-20,1
table-1,テーブル-1,field-21,1
table-1,テーブル-1,field-22,1
table-1,テーブル-1,field-23,1
table-1,テーブル-1,field-24,1
table-1,テーブル-1,field-25,1
table-1,テーブル-1,field-26,1
table-1,テーブル-1,field-27,1
table-1,テーブル-1,field-28,1
table-1,テーブル-1,field-29,1
table-1,テーブル-1,field-30,1
table-1,テーブル-1,field-31,1
table-1,テーブル-1,field-32,1
table-1,テーブル-1,field-33,1
table-1,テーブル-1,field-34,1
table-1,テーブル-1,field-35,1
table-1,テーブル-1,field-36,1
table-1,テーブル-1,field-37,1
table-1,テーブル-1,field-38,1
table-1,テーブル-1,field-39,1
table-1,テーブル-1,field-40,1
table-1,テーブル-1,field-41,1
table-1,テーブル-1,field-42,1
table-1,テーブル-1,field-43,1
table-1,テーブル-1,field-44,1
table-1,テーブル-1,field-45,1
table-1,テーブル-1,field-46,1
table-1,テーブル-1,field-47,1
table-1,テーブル-1,field-48,1
table-1,テーブル-1,field-49,1
table-1,テーブル-1,field-50,1
table-2,テーブル-2,field-1,2
table-2,テーブル-2,field-2,2
table-2,テーブル-2,field-3,2
table-2,テーブル-2,field-4,2
table-2,テーブル-2,field-5,2
table-2,テーブル-2,field-6,2
table-2,テーブル-2,field-7,2
table-2,テーブル-2,field-8,2
table-2,テーブル-2,field-9,2
table-2,テーブル-2,field-10,2
table-2,テーブル-2,field-11,2
table-2,テーブル-2,field-12,2
table-2,テーブル-2,field-13,2
table-2,テーブル-2,field-14,2
table-2,テーブル-2,field-15,2
table-2,テーブル-2,field-16,2
table-2,テーブル-2,field-17,2
table-2,テーブル-2,field-18,2
table-2,テーブル-2,field-19,2
table-2,テーブル-2,field-20,2
table-2,テーブル-2,field-21,2
table-2,テーブル-2,field-22,2
table-2,テーブル-2,field-23,2
table-2,テーブル-2,field-24,2
table-2,テーブル-2,field-25,2
table-2,テーブル-2,field-26,2
table-2,テーブル-2,field-27,2
table-2,テーブル-2,field-28,2
table-2,テーブル-2,field-29,2
table-2,テーブル-2,field-30,2
